Rank_mean,Team,mean_points,median_points,std_points,avg_rank,rank_5pct,rank_95pct,p_title,p_top4,p_top6,p_relegation
1,Manchester City,82.09,82.0,7.37,1.66,1.0,4.0,59.7,97.9,99.7,0.0
2,Arsenal,75.79,76.0,7.57,2.66,1.0,5.0,21.7,89.6,97.6,0.0
3,Liverpool,73.82,74.0,7.62,3.04,1.0,6.0,14.7,84.7,96.0,0.0
4,Chelsea,63.41,63.0,7.84,5.77,2.0,11.0,1.3,35.5,67.4,0.1
5,Aston Villa,62.9,63.0,7.79,5.92,2.0,11.0,1.2,33.3,65.5,0.1
6,Newcastle,60.95,61.0,7.89,6.59,3.0,12.0,0.7,24.5,55.3,0.2
7,Tottenham,58.69,59.0,7.9,7.43,3.0,13.0,0.4,16.4,43.7,0.4
8,Manchester United,56.39,56.0,7.9,8.34,4.0,15.0,0.2,10.5,32.1,1.0
9,Crystal Palace,49.71,50.0,7.79,11.27,6.0,18.0,0.0,2.0,9.8,5.8
10,Brighton,48.51,48.0,7.78,11.82,6.0,18.0,0.0,1.4,7.5,7.8
11,Brentford,47.76,48.0,7.72,12.17,6.0,18.0,0.0,1.2,6.2,9.0
12,Fulham,46.41,46.0,7.66,12.8,7.0,19.0,0.0,0.8,4.4,11.8
13,Everton,46.37,46.0,7.65,12.82,7.0,19.0,0.0,0.7,4.4,11.9
14,Bournemouth,45.72,46.0,7.65,13.14,7.0,19.0,0.0,0.6,3.8,13.3
15,West Ham,45.43,45.0,7.67,13.26,7.0,19.0,0.0,0.6,3.6,14.2
16,Wolverhampton,43.0,43.0,7.65,14.38,8.0,20.0,0.0,0.2,1.9,22.7
17,Nottingham Forest,39.37,39.0,7.55,15.96,10.0,20.0,0.0,0.1,0.5,39.2
18,Sunderland,38.4,38.0,7.56,16.32,10.0,20.0,0.0,0.1,0.4,44.6
19,Burnley,36.1,36.0,7.36,17.22,11.0,20.0,0.0,0.0,0.2,57.6
20,Leeds,35.48,35.0,7.32,17.42,12.0,20.0,0.0,0.0,0.1,60.4
